id,poisonous
1,y
2,y
3,n
4,y
5,n
6,n
7,y
8,y
9,y
10,n
11,y
12,y
13,y
14,n
15,n
16,y
17,n
18,n
19,y
20,y
21,n
22,y
23,y
24,n
25,y
26,y
27,n
28,n
29,n
30,y
31,y
32,n
33,n
34,y
35,n
36,n
37,y
38,y
39,n
40,n
41,y
42,n
43,n
44,y
45,y
46,y
47,y
48,y
49,y
50,n
51,y
52,n
53,n
54,n
55,n
56,y
57,y
58,y
59,n
60,y
61,n
62,y
63,y
64,n
65,y
66,n
67,y
68,y
69,n
70,n
71,y
72,y
73,n
74,y
75,n
76,n
77,n
78,y
79,n
80,n
81,y
82,n
83,n
84,y
85,n
86,n
87,y
88,y
89,y
90,n
91,n
92,y
93,n
94,n
95,y
96,y
97,y
98,y
99,y
100,y
101,y
102,y
103,y
104,y
105,n
106,n
107,y
108,y
109,y
110,y
111,y
112,n
113,n
114,n
115,n
116,y
117,n
118,n
119,y
120,y
121,n
122,n
123,n
124,y
125,y
126,n
127,n
128,n
129,n
130,y
131,y
132,n
133,n
134,n
135,y
136,y
137,y
138,y
139,y
140,n
141,n
142,y
143,y
144,y
145,y
146,y
147,y
148,y
149,n
150,n
151,n
152,y
153,y
154,y
155,n
156,n
157,y
158,y
159,y
160,n
161,n
162,y
163,y
164,y
165,n
166,n
167,y
168,n
169,y
170,n
171,y
172,n
173,y
174,n
175,n
176,n
177,y
178,n
179,y
180,n
181,n
182,y
183,n
184,y
185,y
186,n
187,n
188,y
189,y
190,n
191,y
192,y
193,n
194,y
195,y
196,y
197,y
198,y
199,y
200,y
201,n
202,n
203,y
204,n
205,y
206,y
207,y
208,n
209,n
210,n
211,y
212,y
213,y
214,y
215,y
216,n
217,n
218,n
219,n
220,n
221,y
222,y
223,n
224,y
225,n
226,y
227,y
228,y
229,y
230,y
231,n
232,n
233,y
234,n
235,n
236,y
237,n
238,y
239,n
240,y
241,y
242,n
243,n
244,y
245,n
246,n
247,n
248,n
249,y
250,n
251,n
252,y
253,y
254,n
255,y
256,n
257,y
258,y
259,y
260,y
261,y
262,y
263,n
264,y
265,y
266,n
267,y
268,y
269,n
270,y
271,n
272,n
273,y
274,y
275,n
276,y
277,y
278,y
279,y
280,n
281,y
282,n
283,y
284,y
285,y
286,n
287,y
288,y
289,n
290,y
291,n
292,n
293,n
294,n
295,y
296,n
297,y
298,n
299,n
300,y
301,n
302,n
303,y
304,y
305,n
306,y
307,y
308,y
309,y
310,n
311,y
312,y
313,n
314,y
315,y
316,y
317,y
318,y
319,y
320,n
321,n
322,y
323,y
324,y
325,y
326,y
327,y
328,n
329,y
330,n
331,n
332,y
333,y
334,n
335,n
336,y
337,n
338,n
339,n
340,n
341,n
342,y
343,y
344,y
345,n
346,n
347,n
348,n
349,y
350,n
351,n
352,y
353,y
354,n
355,n
356,y
357,y
358,y
359,y
360,n
361,y
362,n
363,n
364,n
365,y
366,n
367,n
368,n
369,y
370,n
371,y
372,y
373,y
374,y
375,n
376,y
377,y
378,y
379,y
380,n
381,y
382,n
383,y
384,y
385,n
386,n
387,n
388,n
389,n
390,y
391,y
392,y
393,y
394,y
395,y
396,y
397,y
398,n
399,n
400,n
401,n
402,y
403,y
404,y
405,n
406,n
407,y
408,n
409,y
410,n
411,y
412,y
413,y
414,y
415,n
416,n
417,n
418,n
419,y
420,n
421,n
422,y
423,y
424,n
